county_name,county_fips,year,dem_share,rep_share,margin,winner
San Benito,6069,2012,0.5921024994749002,0.3855807603444654,-0.2065217391304348,Democrat
San Bernardino,6071,2012,0.5246776964387971,0.4511613589972434,-0.07351633744155373,Democrat
San Diego,6073,2012,0.5258462343640179,0.4501669906951543,-0.07567924366886358,Democrat
San Francisco,6075,2012,0.835314180986631,0.1303289785138244,-0.7049852024728066,Democrat
San Joaquin,6077,2012,0.5575118345652355,0.4204800265758658,-0.13703180798936965,Democrat
San Luis Obispo,6079,2012,0.48757541508142443,0.4772998615068689,-0.010275553574555507,Democrat
San Mateo,6081,2012,0.7212830743385132,0.25464090718185634,-0.4666421671566569,Democrat
Santa Barbara,6083,2012,0.5763470487386726,0.3955792309576292,-0.1807678177810434,Democrat
Santa Clara,6085,2012,0.7010174298816186,0.27187909642647773,-0.4291383334551409,Democrat
Santa Cruz,6087,2012,0.7561097464507265,0.20023314875723386,-0.5558765976934926,Democrat
Shasta,6089,2012,0.3382327896770813,0.6296849413768258,0.29145215169974453,Republican
Sierra,6091,2012,0.3637883008356546,0.5883008356545961,0.2245125348189415,Republican
Siskiyou,6093,2012,0.40411853340030135,0.556353591160221,0.15223505775991963,Republican
Solano,6095,2012,0.6348757576552702,0.3417123665083572,-0.293163391146913,Democrat
Sonoma,6097,2012,0.7110222255066787,0.2530345299018974,-0.4579876956047813,Democrat
Stanislaus,6099,2012,0.5002542334699972,0.47280345500067583,-0.02745077846932137,Democrat
Sutter,6101,2012,0.39296074260297814,0.5840907625862181,0.19113001998323992,Republican
Tehama,6103,2012,0.3453018235626931,0.6195325760543152,0.2742307524916221,Republican
Trinity,6105,2012,0.4712724709199859,0.4786746563271061,0.0074021854071201765,Republican
Tulare,6107,2012,0.41297725024727994,0.5633630069238378,0.15038575667655785,Republican
Tuolumne,6109,2012,0.4049904808198647,0.5622392352250172,0.15724875440515246,Republican
Ventura,6111,2012,0.5227602194669912,0.45250692715628765,-0.0702532923107036,Democrat
Yolo,6113,2012,0.6541121181604566,0.31376972138301445,-0.3403423967774421,Democrat
Yuba,6115,2012,0.3914213197969543,0.5723350253807107,0.18091370558375636,Republican
Alameda,6001,2016,0.7869001293052061,0.14661009436528874,-0.6402900349399174,Democrat
Alpine,6003,2016,0.5548172757475083,0.36046511627906974,-0.19435215946843853,Democrat
Amador,6005,2016,0.33855870080072176,0.5912371715349047,0.252678470734183,Republican
Butte,6007,2016,0.4349650496002679,0.47239546272654975,0.03743041312628187,Republican
Calaveras,6009,2016,0.3433609958506224,0.583981673582296,0.24062067773167362,Republican
Colusa,6011,2016,0.4012364294330519,0.5354342581423401,0.13419782870928826,Republican
Contra Costa,6013,2016,0.684908028101035,0.24873920737920308,-0.43616882072183194,Democrat
